date,level
2025-01-03,1000.0000
2025-01-06,995.6726
2025-01-08,1004.3451
2025-01-09,980.4207
2025-01-10,998.6176
2025-01-13,1013.2968
2025-01-14,1010.9634
2025-01-15,1005.1123
2025-01-16,1029.2699
2025-01-17,1041.3718
2025-01-20,1035.7256
2025-01-21,1037.5499
2025-01-22,1050.9528
2025-01-23,1034.5059
2025-01-24,1042.2273
2025-01-27,1022.2344
2025-01-28,1036.5812
2025-01-29,1043.1960
2025-01-30,1049.1320
2025-01-31,1042.2839
2025-02-03,1034.5307
2025-02-04,1031.5397
2025-02-05,1036.0827
2025-02-06,1050.0689
2025-02-07,1048.7997
2025-02-10,1065.0133
2025-02-11,1067.0037
2025-02-12,1069.6942
2025-02-13,1133.8059
2025-02-14,1126.0385
2025-02-17,1169.6694
2025-02-18,1152.1160
2025-02-19,1156.3161
2025-02-20,1164.0870
2025-02-21,1160.7884
2025-02-24,1167.9795
2025-02-25,1175.9378
2025-02-26,1158.2111
2025-02-27,1142.8849
2025-02-28,1131.5114
2025-03-03,1112.1549
2025-03-04,1146.0597
2025-03-05,1153.8342
2025-03-06,1134.0640
2025-03-07,1119.6323
2025-03-10,1131.6281
2025-03-11,1131.6776
2025-03-12,1125.6744
2025-03-13,1103.6132
2025-03-14,1129.6023
2025-03-17,1147.3184
2025-03-18,1151.6670
2025-03-19,1141.8738
2025-03-20,1139.5227
2025-03-21,1128.3755
2025-03-24,1123.7971
2025-03-25,1118.8333
2025-03-26,1112.3599
2025-03-27,1090.3270
2025-03-28,1069.7013
2025-03-31,1065.3562
2025-04-01,1048.0573
2025-04-02,1034.6084
2025-04-03,1010.9882
2025-04-04,983.5496
2025-04-07,965.1370
2025-04-08,970.9775
2025-04-09,937.1363
2025-04-10,977.2954
2025-04-11,1000.5020
2025-04-14,996.8853
2025-04-15,991.8862
2025-04-16,1011.7836
2025-04-17,1013.0175
2025-04-18,1015.6514
2025-04-21,1033.2190
2025-04-22,1044.5430
2025-04-23,1040.5621
2025-04-24,1040.9864
2025-04-25,1062.8036
2025-04-28,1072.7594
2025-04-29,1045.6638
2025-04-30,1031.8084
2025-05-02,1002.8991
2025-05-05,968.2871
2025-05-06,997.0196
2025-05-07,1001.6228
2025-05-08,1007.9300
2025-05-12,1035.9448
2025-05-13,1037.8398
2025-05-14,1033.8377
2025-05-15,1004.0834
2025-05-16,1004.1860
2025-05-19,1019.1374
2025-05-20,998.2040
2025-05-21,993.3109
2025-05-22,987.1522
2025-05-23,979.3530
2025-05-26,954.5130
2025-05-27,967.5623
2025-05-28,984.6915
2025-05-29,993.4382
2025-05-30,1000.1167
2025-06-02,1000.4136
2025-06-03,1001.9657
2025-06-04,1002.8779
2025-06-05,1009.9381
2025-06-06,985.0309
2025-06-09,967.9194
2025-06-10,962.4783
2025-06-11,966.3072
2025-06-13,972.3599
2025-06-16,967.9441
2025-06-17,986.0138
2025-06-18,987.0355
2025-06-19,984.2001
2025-06-20,972.6145
2025-06-23,975.6655
2025-06-24,970.4614
2025-06-25,986.6643
2025-06-26,988.9588
2025-06-27,992.0841
2025-06-30,1006.6749
2025-07-01,1007.0497
2025-07-02,995.3191
2025-07-03,998.1757
2025-07-04,990.5073
2025-07-07,974.4175
2025-07-08,974.2196
2025-07-09,953.3145
2025-07-10,966.0421
2025-07-11,934.0711
2025-07-14,959.5687
2025-07-15,974.7039
2025-07-16,981.8490
2025-07-17,976.3055
2025-07-18,984.4900
2025-07-21,997.6242
2025-07-22,998.9783
2025-07-23,1004.4759
2025-07-24,992.6427
2025-07-25,980.1626
2025-07-28,965.5224
2025-07-29,975.1741
2025-07-30,963.8466
2025-07-31,965.9254
2025-08-01,964.4617
2025-08-04,980.6788
2025-08-05,985.1052
2025-08-06,977.4156
2025-08-07,1016.9454
2025-08-08,1033.9862
2025-08-11,1047.9583
2025-08-12,1052.5650
2025-08-13,1051.0942
2025-08-14,1052.6215
2025-08-15,1064.9072
2025-08-18,1043.4011
2025-08-19,1048.4921
2025-08-20,1039.6960
2025-08-21,1019.4449
2025-08-22,1024.1329
2025-08-25,1020.7672
2025-08-26,1020.2828
2025-08-27,1029.3371
2025-08-28,1029.7755
2025-08-29,1025.0592
2025-09-01,1020.6717
2025-09-02,1005.9714
2025-09-03,1013.8059
2025-09-04,1015.9802
2025-09-05,1025.7911
2025-09-08,1032.9220
2025-09-09,1037.9919
2025-09-10,1030.3200
2025-09-11,1028.1563
2025-09-12,1003.9703
2025-09-15,993.4064
2025-09-16,990.9033
2025-09-17,994.8877
2025-09-18,987.6542
2025-09-19,971.5609
2025-09-22,969.0861
2025-09-23,975.3049
2025-09-24,962.9061
2025-09-25,957.6383
2025-09-26,963.7511
2025-09-29,948.9447
2025-09-30,949.1250
2025-10-01,935.9201
2025-10-02,930.5533
2025-10-03,920.8238
2025-10-06,936.3620
2025-10-07,943.4683
2025-10-08,905.9608
2025-10-09,932.7806
2025-10-10,915.1706
2025-10-13,910.8644
2025-10-14,898.5293
2025-10-15,899.8480
2025-10-16,921.9657
2025-10-17,962.0435
2025-10-20,970.4189
2025-10-21,930.6770
2025-10-22,937.9530
2025-10-23,908.8457
2025-10-24,899.3919
2025-10-27,875.6549
2025-10-28,882.1248
2025-10-29,892.1160
2025-10-30,904.1824
2025-10-31,892.7700
2025-11-01,895.4075
2025-11-03,908.9482
2025-11-05,900.3429
2025-11-06,898.9570
2025-11-07,907.3431
2025-11-10,904.5784
2025-11-11,907.2547
2025-11-12,896.6661
2025-11-13,899.1904
2025-11-14,892.9397
2025-11-17,887.6224
2025-11-18,906.1587
2025-11-19,935.4852
2025-11-20,929.2240
2025-11-21,949.2770
2025-11-24,938.6035
2025-11-25,949.6023
2025-11-26,943.3905
2025-11-27,926.7704
2025-11-28,946.2330
2025-12-01,949.9487
2025-12-02,942.9733
2025-12-03,937.4969
2025-12-04,939.4131
2025-12-05,958.5646
2025-12-08,956.3974
2025-12-09,955.5312
2025-12-10,961.8738
2025-12-11,971.8685
2025-12-12,968.5310
2025-12-15,971.8685
2025-12-16,980.8132
2025-12-17,975.6868
2025-12-18,973.3322
2025-12-19,969.8038
2025-12-22,960.2192
2025-12-23,963.5425
2025-12-24,961.6475
2025-12-25,959.5616
2025-12-26,973.9756
2025-12-29,969.4290
2025-12-30,978.1227
2026-01-05,974.7534
2026-01-06,970.5710
2026-01-08,961.1526
2026-01-09,963.3551
2026-01-12,955.2519
2026-01-13,953.4806
2026-01-14,955.5206
2026-01-15,955.0362
2026-01-16,966.5017
2026-01-19,972.3352
2026-01-20,968.0290
2026-01-21,979.5050
2026-01-22,978.6176
2026-01-23,981.8950
2026-01-26,978.6636
2026-01-27,983.3445
2026-01-28,985.6850
2026-01-29,989.1320
2026-01-30,983.8218
2026-02-02,978.8086
2026-02-03,985.0274
2026-02-04,981.5485
2026-02-05,967.6967
2026-02-06,967.0956
2026-02-09,963.6344
2026-02-10,960.5940
2026-02-11,974.9867
2026-02-12,977.7833
2026-02-13,981.5591
2026-02-16,983.7723
2026-02-17,977.6666
2026-02-18,982.5278
2026-02-19,980.3217
2026-02-20,983.0652
2026-02-24,981.9162
2026-02-25,988.2941
2026-02-26,984.8259
2026-02-27,989.6199
2026-03-02,1002.5278
2026-03-03,998.8121
2026-03-04,993.3817
2026-03-05,998.7626
2026-03-06,1009.0543
2026-03-09,1021.2763
2026-03-10,1008.9659
2026-03-11,1009.0331
2026-03-12,1015.4075
2026-03-13,1015.3297
2026-03-16,1008.9164
2026-03-17,1008.8492
2026-03-18,1015.2802
2026-03-19,1014.3150
2026-03-20,1012.8655
2026-03-23,1001.7430
2026-03-24,1003.3233
2026-03-25,1004.1153
2026-03-26,997.9989
2026-03-27,986.2507
2026-03-30,990.1679
2026-03-31,981.5697
2026-04-01,981.1702
2026-04-02,980.8768
2026-04-03,976.0297
2026-04-06,984.5749
2026-04-07,988.9482
2026-04-08,977.5712
2026-04-09,966.3779
2026-04-10,963.5460
2026-04-13,962.5915
2026-04-14,963.5885
2026-04-15,968.8704
2026-04-16,969.1144
2026-04-17,963.0334
2026-04-20,973.5407
2026-04-21,974.9691
2026-04-22,976.3620
2026-04-23,979.8338
2026-04-24,966.2365
2026-04-27,966.0279
2026-04-28,953.3604
2026-04-29,933.2933
2026-04-30,939.7949
2026-05-04,926.5759
2026-05-05,934.9019
2026-05-06,930.7053
2026-05-07,924.6350
2026-05-08,918.4373
2026-05-11,939.3353
2026-05-12,951.0200
2026-05-13,952.7028
2026-05-14,940.0177
2026-05-15,931.1791
2026-05-18,943.3339
2026-05-19,941.6581
2026-05-20,933.4700
2026-05-21,941.9445
2026-05-22,928.2977
2026-05-25,918.5788
2026-05-26,912.2326
2026-05-27,915.7645
2026-05-28,913.5195
2026-05-29,907.0567
2026-06-01,908.6229
2026-06-02,926.4239
2026-06-03,919.6924
2026-06-04,912.1089
2026-06-05,905.4410
2026-06-08,890.0972
2026-06-09,891.9109
2026-06-10,891.2427
2026-06-11,889.2805
2026-06-15,899.0065
2026-06-16,880.5091
2026-06-17,878.5752
2026-06-18,863.0864
